"filename", "language", "C#", "comment", "blank", "total"
"d:\Unity Projects\Quantonic\Assets\Scripts\Enemies\Features\Shooting\IShooting.cs", "C#", 6, 6, 2, 14
"d:\Unity Projects\Quantonic\Assets\Scripts\Enemies\Features\Shooting\ShootingDetector.cs", "C#", 21, 0, 5, 26
"d:\Unity Projects\Quantonic\Assets\Scripts\Enemies\Types\Immobile\FireScript.cs", "C#", 15, 0, 3, 18
"d:\Unity Projects\Quantonic\Assets\Scripts\Enemies\Types\Immobile\ImmobileEnemy.cs", "C#", 6, 0, 3, 9
"d:\Unity Projects\Quantonic\Assets\Scripts\Enemies\Types\Immobile\WaveShooterScript.cs", "C#", 57, 6, 10, 73
"d:\Unity Projects\Quantonic\Assets\Scripts\Enemies\Types\Mobile\MobileEnemy.cs", "C#", 7, 3, 2, 12
"d:\Unity Projects\Quantonic\Assets\Scripts\Inputs\CursorController.cs", "C#", 19, 3, 5, 27
"d:\Unity Projects\Quantonic\Assets\Scripts\Inputs\GlobalActions.cs", "C#", 143, 3, 13, 159
"d:\Unity Projects\Quantonic\Assets\Scripts\Inputs\StageActions.cs", "C#", 638, 7, 15, 660
"d:\Unity Projects\Quantonic\Assets\Scripts\Managers\Global\GameManager.cs", "C#", 15, 3, 2, 20
"d:\Unity Projects\Quantonic\Assets\Scripts\Managers\Global\GlobalControlManager.cs", "C#", 53, 10, 12, 75
"d:\Unity Projects\Quantonic\Assets\Scripts\Managers\Manager.cs", "C#", 21, 6, 5, 32
"d:\Unity Projects\Quantonic\Assets\Scripts\Managers\Stage\Spawn\CheckpointScript.cs", "C#", 26, 0, 6, 32
"d:\Unity Projects\Quantonic\Assets\Scripts\Managers\Stage\Spawn\SpawnManager.cs", "C#", 175, 68, 46, 289
"d:\Unity Projects\Quantonic\Assets\Scripts\Managers\Stage\StageControlManager.cs", "C#", 211, 55, 51, 317
"d:\Unity Projects\Quantonic\Assets\Scripts\Managers\Stage\StageUIManager.cs", "C#", 341, 111, 66, 518
"d:\Unity Projects\Quantonic\Assets\Scripts\Quantum\Operators\Binary\CNOTOperator.cs", "C#", 19, 9, 3, 31
"d:\Unity Projects\Quantonic\Assets\Scripts\Quantum\Operators\Binary\SWAPOperator.cs", "C#", 17, 9, 2, 28
"d:\Unity Projects\Quantonic\Assets\Scripts\Quantum\Operators\QuantumOperator.cs", "C#", 16, 8, 5, 29
"d:\Unity Projects\Quantonic\Assets\Scripts\Quantum\Operators\Unary\HadamardOperator.cs", "C#", 16, 3, 2, 21
"d:\Unity Projects\Quantonic\Assets\Scripts\Quantum\Operators\Unary\IdentityOperator.cs", "C#", 10, 3, 2, 15
"d:\Unity Projects\Quantonic\Assets\Scripts\Quantum\Operators\Unary\PauliXOperator.cs", "C#", 13, 3, 2, 18
"d:\Unity Projects\Quantonic\Assets\Scripts\Quantum\Operators\Unary\PauliYOperator.cs", "C#", 12, 3, 2, 17
"d:\Unity Projects\Quantonic\Assets\Scripts\Quantum\Operators\Unary\PauliZOperator.cs", "C#", 15, 3, 2, 20
"d:\Unity Projects\Quantonic\Assets\Scripts\Quantum\QuantumFactory.cs", "C#", 80, 11, 8, 99
"d:\Unity Projects\Quantonic\Assets\Scripts\Quantum\QuantumState.cs", "C#", 105, 26, 19, 150
"d:\Unity Projects\Quantonic\Assets\Scripts\StateMachines\ControllableStateMachine\CSM.cs", "C#", 3, 5, 1, 9
"d:\Unity Projects\Quantonic\Assets\Scripts\StateMachines\ControllableStateMachine\CSMState.cs", "C#", 52, 0, 11, 63
"d:\Unity Projects\Quantonic\Assets\Scripts\StateMachines\ControllableStateMachine\JumpingState.cs", "C#", 67, 12, 16, 95
"d:\Unity Projects\Quantonic\Assets\Scripts\StateMachines\ControllableStateMachine\StandingState.cs", "C#", 35, 3, 5, 43
"d:\Unity Projects\Quantonic\Assets\Scripts\StateMachines\IState.cs", "C#", 10, 4, 2, 16
"d:\Unity Projects\Quantonic\Assets\Scripts\StateMachines\QubitStateMachine\MultipleState.cs", "C#", 64, 3, 10, 77
"d:\Unity Projects\Quantonic\Assets\Scripts\StateMachines\QubitStateMachine\QSM.cs", "C#", 3, 3, 0, 6
"d:\Unity Projects\Quantonic\Assets\Scripts\StateMachines\QubitStateMachine\QSMState.cs", "C#", 64, 7, 12, 83
"d:\Unity Projects\Quantonic\Assets\Scripts\StateMachines\StateMachine.cs", "C#", 17, 12, 8, 37
"d:\Unity Projects\Quantonic\Assets\Scripts\UI\Panel.cs", "C#", 14, 6, 4, 24
"d:\Unity Projects\Quantonic\Assets\Scripts\UI\PieChartScript.cs", "C#", 21, 3, 5, 29
"d:\Unity Projects\Quantonic\Assets\Scripts\UI\QDP\QDPScript.cs", "C#", 33, 8, 7, 48
"d:\Unity Projects\Quantonic\Assets\Scripts\UI\QQV\QQVArrowButtonScript.cs", "C#", 16, 3, 2, 21
"d:\Unity Projects\Quantonic\Assets\Scripts\UI\QQV\QQVEvents.cs", "C#", 36, 9, 5, 50
"d:\Unity Projects\Quantonic\Assets\Scripts\UI\QQV\QQVQubitRawImageScript.cs", "C#", 70, 8, 14, 92
"d:\Unity Projects\Quantonic\Assets\Scripts\UI\QQV\QQVScript.cs", "C#", 140, 40, 26, 206
"d:\Unity Projects\Quantonic\Assets\Scripts\UI\TimerScript.cs", "C#", 55, 10, 15, 80
"Total", "-", 3825, 797, 690, 5312
